 n6_x550jx        Tebo-ICT,  license #xxxx ,                 User

 Test Fixture Nails     1573/1573  Selected Drills           26-January-2015 11:22
                        1573 Nails,  2540 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$184      4.3717    9.1833   2  C1   (B)  #1736 FBA_DQM0         T PIN TB_TP1133.1
$185      4.3717    9.2493   3  C1   (B)  #1693 FBA_D28          T PIN TB_TP888.1
$186      4.4347    9.2493   2  C1   (B)  #1696 FBA_D30          T PIN TB_TP855.1
$187      4.4027    9.3473   1  C1   (B)  #1753 FBA_DQS_WP1      T PIN TB_TP833.1
$188      4.4547    9.3793   4  C1   (B)  #1745 FBA_DQS_RN1      T PIN TB_TP686.1
$189      4.3137    9.4923   2  C1   (B)  #1861 FBB_DQS_RN5      T PIN TB_TP1059.1
$190      4.3127    9.5523   3  C1   (B)  #1869 FBB_DQS_WP5      T PIN TB_TP1173.1
$191      4.2887    9.8403   2  C1   (B)  #1819 FBB_D40          T PIN TB_TP1520.1
$192      3.9987    9.9703   1  C1   (B)  #1782 FBB_CMD8         T PIN TB_TP297.1
$193      3.9227    9.9523   2  C1   (B)  #1761 FBB_CMD10        T PIN TB_TP288.1
$194      3.9387    9.8923   3  C1   (B)  #1766 FBB_CMD15        T PIN TB_TP259.1
$195      4.0137    9.8873   2  C1   (B)  #1770 FBB_CMD22        T PIN TB_TP225.1
$196      4.0417    9.8223   2  C1   (B)  #1772 FBB_CMD24        T PIN TB_TP217.1
$197      3.9637    9.8193   2  C1   (B)  #1776 FBB_CMD28        T PIN TB_TP204.1
$198      3.8917    9.8313   2  C1   (B)  #1783 FBB_CMD9         T PIN TB_TP292.1
$199      3.6647    9.8433   2  C1   (B)  #1846 FBB_D8           T PIN TB_TP145.1
$200      3.6857    9.9123   2  C1   (B)  #202  FBB_ZQ0          T PIN TB_TP844.1
$201      3.6107    9.9313   2  C1   (B)  #1787 FBB_D11          T PIN TB_TP137.1
$202      3.5387    9.8213   1  C1   (B)  #1786 FBB_D10          T PIN TB_TP141.1
$203      3.4747    9.8833   2  C1   (B)  #1847 FBB_D9           T PIN TB_TP143.1
$204      3.4317    9.9453   2  C1   (B)  #1849 FBB_DQM1         T PIN TB_TP1334.1
$205      3.3967    9.8813   2  C1   (B)  #1857 FBB_DQS_RN1      T PIN TB_TP1087.1
$206      3.3497    9.9333   2  C1   (B)  #1788 FBB_D12          T PIN TB_TP134.1
$207      3.2817    9.9543   2  C1   (B)  #1791 FBB_D15          T PIN TB_TP120.1
$208      3.2227   10.0083   1  C1   (B)  #1789 FBB_D13          T PIN TB_TP129.1
$209      3.2437   10.2543   1  C1   (B)  #1790 FBB_D14          T PIN TB_TP123.1
$210      3.5877   10.5073   2  C1   (B)  #547  FBB_CMD2         T PIN TB_TP324.1
$211      3.6477   10.5103   3  C1   (B)  #206  FBB_CLK0#        T PIN TB_TP963.1
$212      3.9877   10.4263   1  C1   (B)  #1774 FBB_CMD26        T PIN TB_TP209.1
$213      4.0337   10.3743   3  C1   (B)  #1775 FBB_CMD27        T PIN TB_TP207.1
$214      4.2547   10.4983   1  C1   (B)  #959  FBBVREFA1        T PIN TB_TP911.1
$215      4.3507   10.5013   2  C1   (B)  #204  FBB_ZQ2          T PIN TB_TP889.1
$216      4.4217   10.5003   2  C1   (B)  #544  FBB_CMD19        T PIN TB_TP243.1
$217      4.2987    9.9483   3  C1   (B)  #1821 FBB_D42          T PIN TB_TP1511.1
$218      4.3397    9.8923   2  C1   (B)  #1822 FBB_D43          T PIN TB_TP1506.1
$219      4.4157    9.9223   1  C1   (B)  #1820 FBB_D41          T PIN TB_TP1515.1
$220      4.3947    9.5393   1  C1   (B)  #1823 FBB_D44          T PIN TB_TP1501.1
$221      4.4577    9.4813   3  C1   (B)  #1677 FBA_D13          T PIN TB_TP801.1
$222      4.4797    9.4233   2  D1   (B)  #1678 FBA_D14          T PIN TB_TP444.1
$223      4.7437    9.2673   1  D1   (B)  #1675 FBA_D11          T PIN TB_TP655.1
$224      4.7647    9.3793   2  D1   (B)  #1674 FBA_D10          T PIN TB_TP715.1
$225      4.8827    9.3563   1  D1   (B)  #201  FBA_ZQ1          T PIN TB_TP822.1
$226      4.8267    9.4323   1  D1   (B)  #1734 FBA_D8           T PIN TB_TP781.1
$227      4.7507    9.4983   1  D1   (B)  #1735 FBA_D9           T PIN TB_TP392.1
$228      4.8287    9.5183   2  D1   (B)  #1737 FBA_DQM1         T PIN TB_TP590.1
$229      4.8537    9.6863   1  D1   (B)  #1679 FBA_D15          T PIN TB_TP365.1
$230      4.5897    9.9373   1  D1   (B)  #1824 FBB_D45          T PIN TB_TP1495.1
$231      4.5047    9.9323   1  D1   (B)  #1853 FBB_DQM5         T PIN TB_TP1291.1
$232      4.7457   10.2123   1  D1   (B)  #1826 FBB_D47          T PIN TB_TP1484.1
$233      4.7667   10.1283   1  D1   (B)  #1825 FBB_D46          T PIN TB_TP1489.1
$234      4.9487   10.0503   1  D1   (B)  #119  +1_35VSG         T PIN TB_TP745.1
$235      5.0687   10.1673   1  D1   (B)  #678  P_1_2VS_VIN_S    T PIN TB_TP36.1
$236      4.9717   10.3483   1  D1   (B)  #60   P_1_2VS_VCC_10   T PIN TB_TP38.1
$237      5.5057   10.5283   1  D1   (B)  #793  EDP_LVDS_PWM_IN  T PIN TB_TP866.1
$238      5.6237   10.5403   1  D1   (B)  #792  SMB_DATAR_R      T PIN TB_TP28.1
$239      5.6027   10.6593   1  D1   (B)  #791  SMB_CLKR_R       T PIN TB_TP27.1
$240      5.6957   10.7113   2  D1   (B)  #1232 +1_2VS           T PIN TB_TP35.1
$241      5.6907   10.6343   2  D1   (B)  #797  EDP_LVDS_HPD     T PIN TB_TP734.1
$242      5.7627   10.5413   2  D1   (B)  #170  N21334441        T PIN TB_TP34.1
$243      5.8277   10.5033   2  D1   (B)  #799  EDP_LVDS_TXP0    T PIN TB_TP660.1
$244      5.9357   10.5633   1  D1   (B)  #789  AVDD12           T PIN TB_TP30.1
$245      5.8867   10.4683   3  D1   (B)  #798  EDP_LVDS_TXN0    T PIN TB_TP805.1
$246      5.8087   10.3473   1  D1   (B)  #528  TEST             T PIN TB_TP33.1
$247      5.6497   10.1163   2  D1   (B)  #805  LVDS_L0P         T PIN TB_TP750.1
$248      5.5797   10.0903   2  D1   (B)  #807  LVDS_L1P         T PIN TB_TP901.1
$249      5.5107   10.0633   2  D1   (B)  #809  LVDS_L2P         T PIN TB_TP812.1
$250      5.4647   10.1633   1  D1   (B)  #790  AVDD33           T PIN TB_TP42.1
