 n6_x550jx        Tebo-ICT,  license #xxxx ,                 User

 Parts List              2502/2502  Selected Parts             26-January-2015 11:22
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'
PR8525        1.6477    9.3023  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8526        1.4427    9.7373  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8527        1.3777    9.7123  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8528        1.4827    9.7373  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8530        1.3077    9.9773  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8531        1.3777    9.7523  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8532        2.2452    9.5548    0.0  B1   (T)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8533        1.4677    9.8773  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8534        1.2677    9.9773   90.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8535        1.3777    9.8773  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8536        1.3777    9.5423  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8537        1.6177    9.5123  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8703        5.3377   10.3973    0.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8705        5.0227   10.3773  270.0  D1   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR8713        5.3377   10.3173  180.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8715        5.0577   10.3073  180.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8801        5.5577    8.4023  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8805        6.0827    7.7423    0.0  D2   (T)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8806        5.3789    7.0046    0.0  D3   (T)  'NBS_R1508_H39_000S', 'NBS_R1508_H39_000S'
PR8807        6.0177    8.4323  270.0  D2   (T)  'NBS_R1508_H39_000S', 'NBS_R1508_H39_000S'
PR8808        5.6527    8.3823  270.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8809        5.6127    8.3823   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8810        6.0927    8.7473  180.0  D2   (B)  'NBS_R1508_H47_000S', 'NBS_R1508_H47_000S'
PR8812        5.4627    8.3873  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8813        5.5577    8.3473  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8814        5.5577    8.3073  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8815        5.4627    8.3073  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8816       -0.3123    3.9423  180.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8819        5.5777    8.1723   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8820        5.4577    8.2253    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8821        5.6827    8.0523   90.0  D2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8822       -0.3848    3.4948  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8823       -0.3648    3.4373   90.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8824        5.6127    7.7723  180.0  D2   (T)  'NBS_R0603_H39_000S', 'NBS_R0603_H39_000S'
PR8828       -0.3123    4.0223  180.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8829        5.5577    8.5723  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8842        5.7927    8.4123   90.0  D2   (T)  'NBS_R1206_H28_000S', 'NBS_R1206_H28_000S'
PR8843        5.8727    8.0073    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8844        6.0627    7.8023  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8859        5.5527    8.1173    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9003        5.3817    7.9323  270.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9004        5.3097    7.9323  270.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9007        5.4247    8.0493  270.0  D2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR9008        5.4977    8.0523  270.0  D2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR9009        5.2127    7.4813   90.0  D2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR9012        5.1977    7.5973   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9013        5.2367    7.8123  270.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9014        5.1577    7.5973  270.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9015        5.3747    8.2013    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9017        5.3027    8.2123  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9018        5.2007    7.8273   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9020        5.3687    7.6173   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9021        5.3327    7.6173   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9022        5.2967    7.6173   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9023        5.1427    8.0423    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9024        5.4727    7.5273    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9025        5.1647    7.8123  270.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9026        5.4087    7.6173   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9027        5.1927    7.9323   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9028        5.3797    7.5303  270.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9029        5.1427    8.0023    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9030        5.3297    7.4403  270.0  D2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR9031        5.3457    7.9323   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9032        5.3917    7.7063  270.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9033        5.3027    8.1323    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9035        5.4727    7.4873  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9036        5.2327    7.9323   90.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9102       -0.3973    5.2673    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9104        0.6602    4.2198    0.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9105       -0.3023    5.0373    0.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9106        0.4902    4.0598   90.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9111       -0.8373    5.1773    0.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9112       -0.5893    5.1823  270.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9113       -0.6413    5.1733  270.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9125       -0.8373    5.2173  180.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9126       -0.7773    5.2873   90.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9127       -0.8293    5.2873   90.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9128        2.1727    7.9633   90.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PRN9100      -0.3373    4.9323  270.0  A4   (T)  'NBS_4R8P0402_H20_000S_B', 'NBS_4R8P0402_H20_000S_B'
PTR8001       4.0052    7.6098    0.0  C2   (T)  'NBS_R0402_H24_000S', 'NBS_R0402_H24_000S'
PTR8002       4.0927    7.2723   90.0  C2   (T)  'NBS_R0402_H24_000S', 'NBS_R0402_H24_000S'
R0301         2.6927    6.9423  270.0  C3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R0307         3.0277    5.2664  270.0  C3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0308         3.0217    5.3864  270.0  C3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0309         3.1717    5.3863  270.0  C3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0310         2.8797    5.5044   90.0  C3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0311         2.9157    5.5044   90.0  C3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0312         2.9077    5.3864   90.0  C3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0313         2.8287    5.5044   90.0  C3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0314         2.9477    5.2664   90.0  C3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0315         3.2207    5.3863   90.0  C3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0316         2.9637    7.3063  270.0  C2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0317         3.0057    7.3063  270.0  C2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
