 RAINS-DIS_HR_HPC-MV_FINAL        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1481/9123 Selected Drills           9-Jan-2011 9:36
                       1481 Nails, 2670 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$419      -1.804    -0.829   2  B1   (T)  #1266 LCD_PWR_EN       V VIA .
$420      -1.720    -0.660   3  B1   (T)  #1811 INV_ENABLE_MUX   V VIA .
$421      -1.546    -0.673   1  B1   (T)  #520  FW_HW#           V VIA .
$422      -1.434    -0.674   3  B1   (T)  #564  USB13_CAM#_F     V VIA .
$423      -1.383    -0.673   3  B1   (T)  #581  USB13_CAM_F      V VIA .
$424      -1.186    -0.514   1  A1   (T)  #1247 DGPU_PWR_ON_DIS_LOAD V VIA .
$425      -1.232    -0.285   1  A1   (T)  #1231 N35302368        V VIA .
$426      -1.104    -0.322   1  A1   (T)  #1230 DGPU_PWR_ON_DIS# V VIA .
$427      -0.867    -0.499   1  A1   (T)  #1236 N80656075        V VIA .
$428      -1.048    -0.939   1  A1   (T)  #521  N40044560        V VIA .
$429      -0.964    -0.940   2  A1   (T)  #1848 IHDA_SDATAO      V VIA .
$430      -0.953    -1.012   2  A1   (T)  #932  +1_05V_5V_8V_RUN V VIA .
$431      -1.177    -1.211   1  A1   (T)  #1678 PM_THRMTRIP#     V VIA .
$432      -0.975    -1.459   2  A2   (T)  #1908 NV_RCOMP         V VIA .
$433      -1.034    -1.434   3  A2   (T)  #1977 NV_ALE           V PIN TP42.1
$434      -1.100    -1.394   1  A2   (T)  #1723 +VCCFDIPLL       V VIA .
$435      -1.214    -1.648   1  A2   (T)  #331  +3VRUN_PCH       V VIA .
$436      -1.042    -1.592   2  A2   (T)  #1983 N40136958        V PIN TP52.1
