 CHICAGO_HR_HPC_MV_MB_V1        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1429/6711 Selected Drills           5-Mar-2011 8:40
                       1429 Nails, 2192 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$258      -4.351    -7.284   1  D6   (T)  #531  ULVDS_A_CLKP     V VIA .
$259      -5.599    -1.992   3  E2   (T)  #528  ULVDS_A_DN2      V VIA .
$260      -5.598    -2.042   3  E2   (T)  #529  ULVDS_A_DP2      V VIA .
$261      -5.033    -4.167   3  E4   (T)  #269  AT_MEM_ID0       V VIA .
$262      -5.033    -4.218   3  E4   (T)  #270  AT_MEM_ID1       V VIA .
$263      -4.972    -4.442   1  D4   (T)  #262  AT_THERMDN       V VIA .
$264      -5.104    -4.463   1  E4   (T)  #268  AT_THERMDP       V VIA .
$289       4.170    -3.003   3  D3   (T)  #554  USB_PN1_L        V VIA .
$290       4.274    -2.756   1  D3   (T)  #1333 P_+V12A_D2_10    V VIA .
$291       4.156    -2.488   1  D2   (T)  #90   +VCC_USB0_J      V VIA .
$292       4.182    -2.002   3  D2   (T)  #983  EC_AC_LED#_W_CON_10 V VIA .
$293       4.460    -1.972   1  D2   (T)  #576  SMART_ID         V VIA .
$294       4.535    -1.855   1  D2   (T)  #971  DCIN_OPP         V VIA .
$295       4.225    -1.808   1  D2   (T)  #984  EC_CHAR_LED#_A_CON_10 V VIA .
$296       3.837    -1.832   1  D2   (T)  #166  CHG_BST+_20      V VIA .
$297       4.061    -1.931   1  D2   (T)  #1347 CHG_IAC_OUT_10   V VIA .
$298       4.132    -2.016   3  D2   (T)  #151  SGND_CHG         V VIA .
$299       4.097    -2.096   1  D2   (T)  #726  CHG_ICHP_JP_10   V VIA .
$300       4.096    -2.298   1  D2   (T)  #207  P_5V3V_TON_10    V VIA .
$301       3.933    -2.095   1  D2   (T)  #172  CHG_ICHM_10      V VIA .
$302       3.857    -2.239   3  D2   (T)  #217  +VBATL           V VIA .
$303       3.790    -2.270   3  D2   (T)  #1329 P_+V3.3A_BST-_20 V VIA .
$304       3.809    -2.222   3  D2   (T)  #171  CHG_IACP_10      V VIA .
$305       3.772    -2.155   2  D2   (T)  #177  CHG_VAC_10       V VIA .
$306       3.659    -2.110   1  C2   (T)  #168  CHG_DH_30        V VIA .
$307       3.583    -1.928   2  C2   (T)  #163  CHG_VDDP_20      V VIA .
$308       3.587    -1.861   2  C2   (T)  #998  CHG_BST-_20      V VIA .
$309       3.516    -1.965   1  C2   (T)  #74   CHG_BAT_VIN_SHAPE V VIA .
$310       3.109    -2.054   1  C2   (T)  #174  CHG_DL_30        V VIA .
$311       2.646    -1.821   1  C2   (T)  #175  EC_SMB1_CLK_3AL  V VIA .
$312       2.958    -2.110   1  C2   (T)  #161  CHG_VOUT_S       V VIA .
$313       2.931    -2.338   1  C2   (T)  #164  DCIN_L           V VIA .
$314       3.072    -2.302   1  C2   (T)  #22   P_+V3.3A_OUT_S   V VIA .
$315       3.269    -2.343   1  C2   (T)  #198  P_+V3.3A_DH_30   V VIA .
$316       3.380    -2.284   1  C2   (T)  #160  CHG_LX_30        V VIA .
$317       3.458    -2.343   1  C2   (T)  #205  P_+V3.3A_LX_30   V VIA .
$318       3.650    -2.373   3  C2   (T)  #997  P_+5V3V_DUAL_VIN_10 V VIA .
$319       3.701    -2.393   3  C2   (T)  #201  P_+5V3V_EN0_10   V VIA .
$320       3.656    -2.502   1  C3   (T)  #213  P_+5V3V_VIN_10   V VIA .
$321       3.856    -2.412   1  D2   (T)  #209  P_+V3.3A_BST+_20 V VIA .
$322       4.076    -2.464   3  D2   (T)  #1364 P_+V3.3A_FB_10   V VIA .
$323       4.114    -2.583   1  D3   (T)  #211  P_+V5A_VFB1_10   V VIA .
$324       4.063    -2.662   3  D3   (T)  #1365 P_+V5A_FB_10     V VIA .
$325       4.013    -2.663   3  D3   (T)  #202  P_+V5A_ENTRIP1_10 V VIA .
$326       3.896    -2.703   3  D3   (T)  #208  P_+V5A_BST+_20   V VIA .
$327       3.928    -2.746   3  D3   (T)  #1331 P_+V12A_D1_10    V VIA .
