 N750JV-R21

 Parts List              0/2482 Selected Parts             24-Jun-2013 16:48
                                                          INCH units

Part     X       Y     Rot  Grid  T/B 'Device', 'Outline'
F6502                   11.641     2.054   90.0  A3   (T)  'NBS_POLYSWITCH_2P_001', 'NBS_POLYSWITCH_2P_001'
PR6000                   8.760    -0.453  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR6001                   8.705    -0.453  270.0  C4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR6002                   8.638    -0.453  270.0  C4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR6003                   0.718     4.580    0.0  G1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR6004                   0.913     4.583  270.0  G1   (B)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR6005                   0.825     4.583  270.0  G1   (B)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8000                   5.208     3.998   90.0  E1   (T)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8001                   4.770     3.948   90.0  E1   (T)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8002                   4.948     3.963   90.0  E1   (T)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8003                   5.063     4.048    0.0  E1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8004                   4.963     4.048  180.0  E1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8005                   5.573     4.038  180.0  D1   (T)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8006                   4.390     4.043  180.0  E1   (T)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8007                   6.083     4.020  180.0  D1   (T)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8008                   4.863     4.048    0.0  E1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8009                   5.165     3.988   90.0  E1   (T)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR8010                   4.725     3.948   90.0  E1   (T)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR8011                   4.995     3.948   90.0  E1   (T)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR8012                   5.345     4.315  270.0  D1   (B)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
