 X450VC-MB-R20        FABMASTER (R)          licence #5039 TEST RESEARCH INC, 

 Test Fixture Nails    1311/1464 Selected Drills           25-Feb-2013 8:59
                       1311 Nails, 1633 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$145       5.663     1.607   1  2A   (T)  #785  M_B_A0           V VIA .
$146       5.995     0.970   1  2A   (T)  #518  +5V              V VIA .
$147       6.140     1.375   1  2A   (T)  #115  SPISO0           V PIN T2802.1
$148       6.217     1.311   1  2A   (T)  #113  SPICS#0          V PIN T2801.1
$149       6.360     1.350   2  2A   (T)  #1565 STP_PCI#         V VIA .
$150       6.366     1.425   2  2A   (T)  #1458 SML1_CLK         V VIA .
$151       6.315     1.503   1  2A   (T)  #1476 DIMM_SEL2        V VIA .
$152       6.390     1.520   2  2A   (T)  #1494 RTCRST#          V PIN T2013.1
$153       6.460     1.508   2  2A   (T)  #323  PM_RSMRST#_PCH   V PIN T2217.1
$154       6.530     1.515   2  2A   (T)  #1460 SML1_DAT         V VIA .
$155       6.557     1.363   1  2A   (T)  #1459 SMB1_CLK         V VIA .
$156       6.645     1.320   1  2A   (T)  #1484 PM_SYSPWROK      V VIA .
$157       6.685     1.383   3  1A   (T)  #1400 PM_PWROK         V VIA .
$158       6.649     1.430   3  1A   (T)  #214  SMB1_CLK_S       V VIA .
$159       6.732     1.463   1  1A   (T)  #104  PM_PWROK_PCH     V PIN T2211.1
$160       6.843     1.475   1  1A   (T)  #103  ME_PWROK_PCH     V PIN T2215.1
$161       6.910     1.317   1  1A   (T)  #1449 N59777661        V VIA .
$162       6.958     0.446   1  1A   (T)  #769  N20487180        V VIA .
$163       7.350     1.151   1  1A   (T)  #778  SATA_RXP0        V VIA .
$164       7.056     1.365   1  1A   (T)  #1022 N59777659        V VIA .
$165       7.025     1.545   2  1A   (T)  #292  +5VSUS_PCH       V VIA .
$166       7.065     1.605   2  1A   (T)  #96   ACZ_SDOUT        V VIA .
$167       7.195     1.555   2  1A   (T)  #1621 PCH_SPI_OV       V VIA .
$168       7.190     1.474   1  1A   (T)  #1419 USB_PP2          V VIA .
$169       7.445     1.455   1  1A   (T)  #293  +V5REF_PCH       V VIA .
$170       7.591     1.475   1  1A   (T)  #102  N44598286        V VIA .
$171       7.804     1.465   1  1A   (T)  #717  N24767643        V VIA .
$172       7.485     1.805   1  1A   (T)  #378  CLK_DEBUG        V VIA .
$173       7.475     1.915   1  1B   (T)  #1482 CLK_ICH14_PCH    V VIA .
$174       7.591     2.150   2  1B   (T)  #934  +VCCA_DAC_1_2    V VIA .
$175       7.650     2.210   1  1B   (T)  #192  CLK_PCIE_GLAN#   V VIA .
$176       7.600     2.285   1  1B   (T)  #190  CLK_PCIE_GLAN    V VIA .
$177       7.515     2.360   2  1B   (T)  #195  CLK_PCIE_PEG#_PCH V PIN T7001.1
$178       7.752     2.399   1  1B   (T)  #186  CLK_PCIE_WLAN    V VIA .
$179       7.745     2.815   1  1B   (T)  #307  P_NVVDD_VSN_10   V VIA .
$180       7.211     2.659   1  1B   (T)  #973  HDMI_TX1N        V VIA .
$181       7.067     2.735   3  1B   (T)  #233  PCIE_RXP2_WLAN   V VIA .
$182       7.009     2.750   3  1B   (T)  #942  PCIE_TXN6_C      V VIA .
$183       7.026     2.675   1  1B   (T)  #944  PCIE_TXP6_C      V VIA .
$184       7.185     2.505   2  1B   (T)  #935  +1.8VS_VCCT_LVD  V VIA .
$185       7.185     2.435   2  1B   (T)  #991  +VCCSSC_PCH      V VIA .
$186       7.368     2.413   1  1B   (T)  #206  LVDS_L2P_PCH     V VIA .
$187       7.445     2.400   2  1B   (T)  #427  +VCCDIFCLKN_PCH  V VIA .
$188       7.459     2.316   2  1B   (T)  #197  CLK_PCIE_PEG_PCH V PIN T7002.1
$189       7.414     2.254   2  1B   (T)  #191  CLK_PCH_SRC3_P   V VIA .
$190       7.410     2.020   1  1B   (T)  #997  DAC_IREF         V VIA .
$191       7.376     1.885   1  1B   (T)  #423  CLK_PCI_FB       V PIN T2021.1
$192       7.331     1.759   3  1A   (T)  #325  STP_A16OVR       V VIA .
$193       7.375     1.663   2  1A   (T)  #1125 PCI_INTA#        V VIA .
$194       7.310     1.645   2  1A   (T)  #1126 PCI_INTB#        V VIA .
$195       7.250     1.650   3  1A   (T)  #1127 PCI_INTC#        V VIA .
$196       7.197     1.787   1  1A   (T)  #1128 PCI_INTD#        V VIA .
$197       7.279     1.792   3  1A   (T)  #1473 PCB_ID0          V VIA .
$198       7.263     1.845   3  1A   (T)  #1474 PCB_ID1          V VIA .
$199       7.115     1.925   1  1B   (T)  #1573 PCH_DRQ#0        V PIN T2005.1
$200       7.220     1.900   1  1B   (T)  #1592 DGPU_PWM_SELECT# V PIN T2408.1
$201       7.300     1.930   2  1B   (T)  #1576 CLK_OUT2         V PIN T2102.1
$202       7.318     1.999   2  1B   (T)  #377  CLK_DEBUG_R      V VIA .
$203       7.234     2.033   2  1B   (T)  #422  CLK_PCI_FB_R     V VIA .
$204       7.330     2.075   2  1B   (T)  #1524 L_CTRL_CLK       V VIA .
$205       7.325     2.152   1  1B   (T)  #992  +3VS_VCC_CLKF33  V VIA .
$206       7.320     2.221   3  1B   (T)  #1581 CLK_PCH_SRC5_P   V PIN T2107.1
$207       7.280     2.265   3  1B   (T)  #193  CLK_PCH_SRC3_N   V VIA .
$208       7.211     2.295   3  1B   (T)  #194  CLK_PEG_A_N      V VIA .
$209       7.158     2.273   3  1B   (T)  #196  CLK_PEG_A_P      V VIA .
$210       7.183     2.219   3  1B   (T)  #1580 CLK_PCH_SRC5_N   V PIN T2106.1
$211       7.135     2.141   2  1B   (T)  #1525 L_CTRL_DATA      V VIA .
$212       7.161     2.055   2  1B   (T)  #1575 CLK_OUT1         V PIN T2101.1
$213       7.080     2.100   2  1B   (T)  #1574 LPC_DRQ#1        V PIN T2006.1
$214       7.050     2.005   2  1B   (T)  #320  ACZ_SYNC         V VIA .
$215       6.985     2.035   2  1B   (T)  #1121 ACZ_BCLK         V VIA .
$216       6.987     1.951   2  1B   (T)  #1423 USB_PP9          V VIA .
$217       7.030     1.880   1  1B   (T)  #1123 ACZ_RST#         V VIA .
$218       6.935     1.860   1  1B   (T)  #1418 USB_PN2          V VIA .
$219       6.828     1.805   1  1A   (T)  #1425 USB_PP0          V VIA .
$220       6.755     1.750   1  1A   (T)  #350  SM_INTRUDER#     V VIA .
$221       6.765     1.946   2  1B   (T)  #939  SRTCRST#         V PIN T2016.1
$222       6.635     1.960   2  2B   (T)  #1456 SCL_3A           V VIA .
$223       6.539     1.999   2  2B   (T)  #1582 SLP_A#_R         V PIN T2204.1
$224       6.611     2.028   2  2B   (T)  #1584 SLP_S5#          V PIN T2203.1
$225       6.582     2.091   2  2B   (T)  #1593 PCI_PME#         V PIN T2407.1
$226       6.631     2.175   2  2B   (T)  #1516 SATA0GP          V VIA .
