 3.1        Tebo-ICT,  license #willjames
PR8819       -0.4895   -1.6555  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8820       -0.4895   -1.6155  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8821       -0.4935   -1.8015  180.0  B3   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR8822       -0.4935   -1.7535  180.0  B3   (B)  'NBS_R0603_H39_000S', 'NBS_R0603_H39_000S'
PR8823       -1.0346   -2.7255  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8824       -1.0216   -2.8005  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8829       -0.4895   -1.5605    0.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8830       -0.9345   -2.7855  270.0  B4   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR8842       -0.7895   -1.9805   90.0  B3   (B)  'NBS_R1206_H28_000S', 'NBS_R1206_H28_000S'
PR8843       -0.3836   -2.3305  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8844       -0.4606   -2.0345  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8859       -0.5956   -2.3655   90.0  B4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9000       -0.5075   -2.9205   90.0  B4   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR9001       -0.4586   -2.9205   90.0  B4   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR9002       -0.5445   -3.1375  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9003       -0.5666   -3.2635  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9004       -0.4975   -3.1485   90.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9005       -0.4546   -3.1315   90.0  B4   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR9008       -0.5816   -3.1365  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9009       -0.4396   -3.5855  180.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9010       -0.5585   -2.9255   90.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9011       -0.6345   -2.9235  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9012       -0.6515   -3.0085  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9013       -0.5475   -3.4115   90.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9014       -0.4406   -3.5095  180.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9015       -0.4406   -3.5475  180.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9100       -0.6006   -0.3765  270.0  B3   (T)  'NBS_R0402_H14_000S_B', 'NBS_R0402_H14_000S_B'
PR9101       -0.4396   -0.4315  270.0  B3   (T)  'NBS_R0402_H14_000S_B', 'NBS_R0402_H14_000S_B'
PR9102       -0.6896   -1.3755    0.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9104       -0.9846   -0.4705   90.0  B3   (B)  'NBS_R0402_H14_000S', 'NBS_R0402_H14_000S'
PR9105       -0.9185   -2.4655  270.0  B4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9106       -0.7995   -1.6005  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9107       -0.8196   -0.5555    0.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9108       -0.7096   -0.8105  180.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9109       -1.0596   -0.2555    0.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9110       -1.0925   -2.4825  180.0  B4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9112       -0.3456   -1.3865  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9113       -0.3456   -1.3045  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9114       -0.3456   -1.2595  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9115       -0.2266   -1.3035  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9116       -1.3096   -0.3465  180.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR9117       -0.9896   -0.3955   90.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9118       -0.9896   -0.3055   90.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR9119       -0.9896   -0.2355  270.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R0301        -1.6636    0.2275    0.0  B2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R0302        -2.2645    0.0045  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0303        -2.2245    0.0045  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0401        -1.1946    2.8245    0.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0402        -1.1946    2.7845    0.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0501        -1.0646    0.8445    0.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0502        -0.8845    0.6715    0.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0503        -1.0456    0.6235  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0504        -0.7935    0.6745  180.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0505        -0.8815    0.6345    0.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0506        -1.0646    0.7195    0.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0507        -0.8885    0.5845    0.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0508        -1.0646    0.8045    0.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0509        -0.7296    0.9545    0.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0601        -2.4596    0.0115  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0605        -3.1136    0.2595    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0606        -2.5305   -0.0305    0.0  B3   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R0607        -2.6726   -0.0195   90.0  A3   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R0608        -2.9545    0.4195  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0609        -2.8695    0.4595    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0610        -2.9545    0.4645  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0611        -2.9545    0.3395  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0612        -2.8695    0.3395    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0801        -1.3845    1.4075  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0802        -3.0166    0.8605   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0803        -3.0566    0.8595   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0804        -2.9796    0.8635   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0805        -2.9545    0.3795    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
