 3.1        Tebo-ICT,  license #willjames

 Test Fixture Nails     1172/1172  Selected Drills           13-November-2015 08:56
                        1172 Nails,  2148 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$223      -3.8346   -0.2975  2  A3   (B)  #445  PCIEG_TXP2         V VIA .
$224      -3.7976   -0.3445  3  A3   (B)  #439  PCIEG_TXN1         V VIA .
$225      -3.8245   -0.3873  3  A3   (B)  #437  PCIEG_TXP0         V VIA .
$226      -3.7595   -0.4085  1  A3   (B)  #435  PCIEG_TXN0         V VIA .
$227      -3.8295   -0.4785  2  A3   (B)  #1359 PEX_REFCLKN        V VIA .
$228      -3.7565   -0.4925  2  A3   (B)  #1357 PEX_REFCLKP        V VIA .
$229      -3.7965   -0.5615  2  A3   (B)  #1411 N63228057          V VIA .
$230      -3.6046   -0.5365  1  A3   (B)  #1358 CLK_PCIE_PEG__PCH  V VIA .
$231      -3.6496   -0.4495  1  A3   (B)  #438  PCIENB_RXP0        V VIA .
$232      -3.5526   -0.4055  1  A3   (B)  #446  PCIENB_RXP2        V VIA .
$233      -3.6145   -0.3655  3  A3   (B)  #440  PCIENB_RXN1        V VIA .
$234      -3.6496   -0.3105  2  A3   (B)  #442  PCIENB_RXP1        V VIA .
$235      -3.6446   -0.1945  1  A3   (B)  #450  PCIENB_RXP3        V VIA .
$236      -3.4686   -0.0665  1  A3   (B)  #198  +1_05VS            V VIA .
$237      -3.4676   -0.3785  1  A3   (B)  #1356 CLK_PCIE_PEG_PCH   V VIA .
$238      -3.1195   -0.5055  1  A3   (B)  #388  +NVVDD             V VIA .
$239      -2.7906   -0.2195  1  A3   (B)  #413  P_NVVDD_LG2_30     V VIA .
$240      -2.8176   -1.3465  1  A3   (B)  #1185 VGA_ALERT_         V VIA .
$241      -3.2226   -2.2905  1  A3   (B)  #645  SATA0_HDD_TX_DN_BD1 V VIA.
$242      -3.3746   -2.2905  1  A3   (B)  #649  SATA0_HDD_RX_DP_BD1 V VIA.
$243      -4.2295   -2.3385  2  A4   (B)  #704  CHG_LED__BD1       V VIA .
$244      -4.2996   -2.3545  2  A4   (B)  #703  CHG_FULL_LED__BD1  V VIA .
$245      -4.3776   -2.3665  1  A4   (B)  #702  USB_P1_DP_BD1      V VIA .
$246      -4.4736   -2.2955  1  A4   (B)  #706  PWR_LED__BD1       V VIA .
$247      -4.5426   -2.3915  1  A4   (B)  #701  USB_P1_DN_BD1      V VIA .
$248      -4.4695   -2.4555  1  A4   (B)  #696  +5V_BD1            V VIA .
$249      -4.4765   -2.7925  1  A4   (B)  #707  USB_P7_DP_BD1      V VIA .
$250      -4.5846   -3.2815  1  A4   (B)  #371  +5V_IO_USB         V VIA .
$251      -4.2935   -2.7865  1  A4   (B)  #369  GND_HDD            V VIA .
$252      -4.1866   -2.7325  1  A4   (B)  #370  +3VS_BD1           V VIA .
$253      -4.0396   -2.7705  1  A4   (B)  #368  +5VS_BD1           V VIA .
$254      -3.8645   -2.7905  1  A4   (B)  #700  +5VSUS_BD1         V VIA .
$255      -3.2836   -3.2155  1  A4   (B)  #405  +5VSUS_BD2         V VIA .
$256      -3.1976   -3.2075  1  A4   (B)  #372  GND_IO             V VIA .
$257      -3.0496   -3.1975  1  A4   (B)  #380  +3V_CARD_CON       V VIA .
$258      -2.6624   -3.2754  1  A4   (B)  #626  SDCDN              V VIA .
$259      -2.4916   -3.3765  2  B4   (B)  #655  WLAN_BT_LED_BD2    V VIA .
$260      -2.4406   -3.4275  2  B4   (B)  #656  PWR_LED__BD2       V VIA .
$261      -2.4825   -3.5895  1  B4   (B)  #736  N17370579          V VIA .
$262      -1.7595   -3.9305  1  B4   (B)  #1162 SATA_ODD_PWRGT     V VIA .
$263      -1.6105   -3.8945  2  B4   (B)  #1137 SATA_ODD_DA_       V VIA .
$264      -1.6646   -3.8455  2  B4   (B)  #169  EC_SCK_PCH         V VIA .
$265      -1.7606   -3.7735  1  B4   (B)  #554  +5VS_DSG           V VIA .
$266      -1.7235   -3.5505  1  B4   (B)  #1157 PM_SUSC_           V VIA .
$267      -1.6766   -3.4815  2  B4   (B)  #1352 GPIO04             V VIA .
$268      -1.6265   -3.5145  3  B4   (B)  #1160 RC_IN_             V VIA .
$269      -1.5716   -3.5365  2  B4   (B)  #1385 GA20               V VIA .
$270      -1.5916   -3.6055  3  B4   (B)  #1333 GPIO5A             V VIA .
$271      -1.5396   -3.5925  3  B4   (B)  #168  GPIO58             V VIA .
$272      -1.4735   -3.6525  3  B4   (B)  #1018 N30809117          V VIA .
$273      -1.4346   -3.6845  3  B4   (B)  #617  N30809019          V VIA .
$274      -1.4256   -3.6345  3  B4   (B)  #618  N30808971          V VIA .
$275      -1.3776   -3.6185  3  B4   (B)  #164  GPIO5C             V VIA .
$276      -1.3485   -3.7155  1  B4   (B)  #167  EC_SO_PCH          V VIA .
$277      -1.3265   -3.6115  3  B4   (B)  #184  N30808975          V VIA .
$278      -1.2595   -3.6305  3  B4   (B)  #512  N30808949          V VIA .
$279      -1.2044   -3.6195  3  B4   (B)  #634  BAT1_IN_OC_        V VIA .
$280      -1.1446   -3.6155  2  B4   (B)  #1329 SUSC_EC__L         V VIA .
$281      -1.1586   -3.7165  1  B4   (B)  #1330 SUSB_EC__L         V VIA .
$282      -1.1085   -3.8045  3  B4   (B)  #1328 3VSUS_ON_L         V VIA .
$283      -1.1716   -3.8105  2  B4   (B)  #1331 1_35V_ON_L         V VIA .
$284      -1.1386   -3.9435  1  B4   (B)  #652  EC_SCE__PCH        V VIA .
$285      -0.7721   -3.9170  1  B4   (B)  #239  5VSUS_PWRGD        V VIA .
$286      -0.8236   -3.8345  1  B4   (B)  #642  SATA1_ODD_TX_DP    V VIA .
$287      -0.9976   -3.7055  2  B4   (B)  #1207 GPXIOA03           V VIA .
$288      -1.0576   -3.7055  3  B4   (B)  #1402 DRAMRST_EC_L       V VIA .
$289      -1.0596   -3.6255  2  B4   (B)  #1398 GPXIOA04           V VIA .
$290      -1.0006   -3.6075  3  B4   (B)  #1325 CORE_PWRGD_L       V VIA .
$291      -0.9636   -3.5655  3  B4   (B)  #1323 +3VSUS_PWRGD_L     V VIA .
$292      -0.9115   -3.5245  2  B4   (B)  #1400 CAP_LED_           V VIA .
$293      -0.8945   -3.6235  1  B4   (B)  #1324 ALL_SYS_PWRGD_L    V VIA .
$294      -0.7745   -3.6105  1  B4   (B)  #1012 ALL_SYSTEM_PWRGD   V VIA .
$295      -0.7795   -3.7005  1  B4   (B)  #1011 CORE_PWRGD         V VIA .
$296      -0.4375   -3.6715  1  B4   (B)  #1004 OUTY_              V VIA .
$297      -0.3306   -3.5825  1  B4   (B)  #1086 PWR_LED_           V VIA .
$298      -0.2182   -3.2555  1  B4   (B)  #811  USB_P7_DN_C        V VIA .
$299      -0.6345   -3.4005  1  B4   (B)  #162  PCH_SUSACK         V VIA .
$300      -0.6445   -3.2965  2  B4   (B)  #1389 N30808973          V VIA .
$301      -0.7056   -3.2925  3  B4   (B)  #163  N30808945          V VIA .
$302      -0.7556   -3.3465  3  B4   (B)  #779  TP_CLK             V VIA .
$303      -0.7476   -3.4025  3  B4   (B)  #778  TP_DAT             V VIA .
$304      -0.8905   -3.4265  1  B4   (B)  #1083 CHG_FULL_LED_      V VIA .
$305      -0.8566   -3.3195  2  B4   (B)  #1332 N30809281          V VIA .
$306      -0.8845   -3.2615  3  B4   (B)  #1388 N30808953          V VIA .
$307      -0.7725   -3.2395  3  B4   (B)  #1334 SMB1_DAT_EC        V VIA .
$308      -0.7735   -3.1885  3  B4   (B)  #1335 SMB1_CLK_EC        V VIA .
$309      -0.8556   -3.2095  3  B4   (B)  #1319 SMB0_DAT_EC        V VIA .
$310      -0.8845   -3.1575  2  B4   (B)  #1396 GPIO43             V VIA .
$311      -0.8835   -3.0645  1  B4   (B)  #1397 EC_THRM_SNSR_EN    V VIA .
$312      -0.8336   -3.1115  3  B4   (B)  #1395 GPIO42             V VIA .
$313      -0.7735   -3.1125  2  B4   (B)  #1320 SMB0_CLK_EC        V VIA .
$314      -0.6555   -3.0905  1  B4   (B)  #1191 IBAT_REF_EC        V VIA .
$315      -0.7256   -3.0535  2  B4   (B)  #1322 N30809053          V VIA .
$316      -0.7256   -2.9805  2  B4   (B)  #290  EC_AGND            V VIA .
$317      -0.7755   -2.9365  3  B4   (B)  #1321 N30809035          V VIA .
$318      -0.7266   -2.9135  3  B4   (B)  #1192 PL_REF_EC          V VIA .
